descricao,Categoria,contagem
Bobina de papel térmico 57x300 Codin REP Bobina de papel térmico de 360 metros para Codin Rep. - Caixa com 4 unidades.,Papelaria,1
CAIXA DE PAPELAO ENVIO BRINDES,Embalagem,1
CAIXA DE PAPELAO ENVIO BRINDES,Papelaria,2
"CONJUNTO DE ADESIVOS PARA GERADOR S2500MG SOMAR CONTENDO 04 ADESIVOS SENDO: 02 ADESIVOS FRONTAIS ""GERADOR S2500MG SOMAR BY SCHULZ"" 01 ADESIVO LATERAL ""ENDERECO"" 01 ADESIVO LATERAL ""ESPECIFICACOES DO PRODUTO"". AUTO-ADESIVO LAMINA PLANA IMPRESSAO DIGITAL TAMANHO A4 (210 X 297 MM) MATERIAL PAPEL ADESIVO BRANCO BRILHANTE COM INSCRICOES EM PRETO. *CONFORME O DESENHO*",Embalagem,1
"CONJUNTO DE ADESIVOS PARA GERADOR S2500MG SOMAR CONTENDO 04 ADESIVOS SENDO: 02 ADESIVOS FRONTAIS ""GERADOR S2500MG SOMAR BY SCHULZ"" 01 ADESIVO LATERAL ""ENDERECO"" 01 ADESIVO LATERAL ""ESPECIFICACOES DO PRODUTO"". AUTO-ADESIVO LAMINA PLANA IMPRESSAO DIGITAL TAMANHO A4 (210 X 297 MM) MATERIAL PAPEL ADESIVO BRANCO BRILHANTE COM INSCRICOES EM PRETO. *CONFORME O DESENHO*",Papelaria,1
Conj. de Papel p/ Rugosímetro Portátil M2 12 rolos PAPEL PARA M1/M2 COM 12 ROLOS - Oferta Nr.: 101911 - Preço: R$ 16000,Embalagem,1
Conj. de Papel p/ Rugosímetro Portátil M2 12 rolos PAPEL PARA M1/M2 COM 12 ROLOS - Oferta Nr.: 101911 - Preço: R$ 16000,Papelaria,1
Embalagem De Papelao Lateral [Extra] (200 x 320 mm) Nº CI: - PRODUTO/SERVIÇO: - CENTRO DE CUSTO: - SOLICITANTE: - APROVADOR: - UTILIZAÇÃO PADRÃO: - DESCRIÇÃO COMPLEMENTAR:.,Embalagem,1
Embalagem De Papelao Lateral [Extra] (200 x 320 mm) Nº CI: - PRODUTO/SERVIÇO: - CENTRO DE CUSTO: - SOLICITANTE: - APROVADOR: - UTILIZAÇÃO PADRÃO: - DESCRIÇÃO COMPLEMENTAR:.,Papelaria,1
Etiqueta tamanho 220mmX80mm em papel BOPP auto colante.,Embalagem,1
Etiqueta tamanho 220mmX80mm em papel BOPP auto colante.,Papelaria,1
FITA ADESIVA DUPLA FACE PAPEL 48X30 3M FITA ADESIVA DUPLA FACE PAPEL 48X30 9400/ 9500 3M,Embalagem,1
FITA ADESIVA DUPLA FACE PAPEL 48X30 3M FITA ADESIVA DUPLA FACE PAPEL 48X30 9400/ 9500 3M,Papelaria,1
FITA ADESIVA PAPEL CREPADO TARTAN 45MM X 50M 3M OPÇÃO MARCA: ADERE,Embalagem,1
FITA ADESIVA PAPEL CREPADO TARTAN 45MM X 50M 3M OPÇÃO MARCA: ADERE,Papelaria,1
FITA ADESIVA PAPEL CREPE 19 X 50 - COR MARROM - 3M,Embalagem,1
FITA ADESIVA PAPEL CREPE 19 X 50 - COR MARROM - 3M,Papelaria,1
FITA ADESIVA PAPEL CREPE BRANCA 9MM X 50MT,Embalagem,1
FITA ADESIVA PAPEL CREPE BRANCA 9MM X 50MT,Papelaria,1
FITA ADESIVA PAPEL CREPE BRANCA 9MM X 50MT (3M/MULT TAPE),Embalagem,1
FITA ADESIVA PAPEL CREPE BRANCA 9MM X 50MT (3M/MULT TAPE),Papelaria,1
FITA ADESIVA PAPEL CREPE BRANCA 9MM X 50MT (MULT TAPE),Embalagem,1
FITA ADESIVA PAPEL CREPE BRANCA 9MM X 50MT (MULT TAPE),Papelaria,1
FITA ADESIVA PAPEL CREPE TARTAN 2563 - 45 X 50 - COR MARROM 3M,Embalagem,2
FITA ADESIVA PAPEL CREPE TARTAN 2563 - 45 X 50 - COR MARROM 3M,Papelaria,2
FITA ADESIVA PAPEL MARRON 50MM X 50 MTRS EUROCEL,Embalagem,1
FITA ADESIVA PAPEL MARRON 50MM X 50 MTRS EUROCEL,Papelaria,1
FITA CREMER 702 DE PAPEL CREPADO 45MM X 50M,Embalagem,1
FITA CREMER 702 DE PAPEL CREPADO 45MM X 50M,Papelaria,1
FITA CREMER 702 DE PAPEL CREPADO 50MM X 50M,Embalagem,1
FITA CREMER 702 DE PAPEL CREPADO 50MM X 50M,Papelaria,1
FITA CREMER 747 DE PAPEL PARDO 50MM X 50M,Embalagem,1
FITA CREMER 747 DE PAPEL PARDO 50MM X 50M,Papelaria,1
FITA CREPE / FITA PAPEL KRAFT,Embalagem,1
FITA CREPE / FITA PAPEL KRAFT,Papelaria,1
FITA DE PAPEL MARRON 3M 50 X 50 M 3557-SCOTCH/490-KRAFT - FILIAL 12,Embalagem,1
FITA DE PAPEL MARRON 3M 50 X 50 M 3557-SCOTCH/490-KRAFT - FILIAL 12,Papelaria,1
FITA DE PAPEL MARRON 50MM X 50M - 3557-SCOTCH/490-KRAFT (FILIAL 12),Embalagem,1
FITA DE PAPEL MARRON 50MM X 50M - 3557-SCOTCH/490-KRAFT (FILIAL 12),Papelaria,1
FITA DUPLA FACE PAPEL 12X30 9400 / 9500,Embalagem,1
FITA DUPLA FACE PAPEL 12X30 9400 / 9500,Papelaria,1
FITA GOMADA PAPEL TARTAN,Embalagem,1
FITA GOMADA PAPEL TARTAN,Papelaria,1
FITA P/ JUNTA PAPEL MICROPERFURADO 50X150M,Embalagem,2
FITA P/ JUNTA PAPEL MICROPERFURADO 50X150M,Papelaria,2
FITA PAPEL KRAFT MARROM 045MM X 50MT - 3M,Embalagem,1
FITA PAPEL KRAFT MARROM 045MM X 50MT - 3M,Papelaria,1
"FITA PAPEL TARTAN 45MM X 50MT COR MARROM Fita Adesiva de Papel 3M""! Tartan 2563",Embalagem,1
"FITA PAPEL TARTAN 45MM X 50MT COR MARROM Fita Adesiva de Papel 3M""! Tartan 2563",Papelaria,1
Fita Adesiva Papel Crepado 38mm x 50mt - 3M,Embalagem,1
Fita Adesiva Papel Crepado 38mm x 50mt - 3M,Papelaria,1
Fita Papel Microperfurada 50mm x 150Mt,Embalagem,1
Fita Papel Microperfurada 50mm x 150Mt,Papelaria,1
Fita de empacotamento papel gomada,Embalagem,1
Fita de empacotamento papel gomada,Papelaria,1
Folha de Papel VCI579 1200x800mm,Embalagem,1
Folha de Papel VCI579 1200x800mm,Papelaria,1
Folha de papelao hidraulico 04mm,Embalagem,1
Folha de papelao hidraulico 04mm,Papelaria,1
Folha de papelao hidraulico NA1002,Embalagem,1
Folha de papelao hidraulico NA1002,Papelaria,1
Industr.Impregnação Papel 65gr - Antuerpia .,Embalagem,1
Industr.Impregnação Papel 65gr - Antuerpia .,Papelaria,1
Industr.Impregnação Papel 65gr - Bilbao. Industr.Impregnação Papel 65gr - Bilbao,Embalagem,1
Industr.Impregnação Papel 65gr - Bilbao. Industr.Impregnação Papel 65gr - Bilbao,Papelaria,1
Industr.Impregnação Papel 65gr - Bronze .,Embalagem,1
Industr.Impregnação Papel 65gr - Bronze .,Papelaria,1
Industr.Impregnação Papel 65gr - Carvalho Natural .,Embalagem,1
Industr.Impregnação Papel 65gr - Carvalho Natural .,Papelaria,1
Industr.Impregnação Papel 65gr - Cinza Perfeito - Industr.Impregnação Papel 65gr - Fond 22-1118537-00 - Nome/Código Fornecedor: Fond 22|1118537|00 - Cinza,Embalagem,1
Industr.Impregnação Papel 65gr - Cinza Perfeito - Industr.Impregnação Papel 65gr - Fond 22-1118537-00 - Nome/Código Fornecedor: Fond 22|1118537|00 - Cinza,Papelaria,1
Industr.Impregnação Papel 65gr - Cosmos .,Embalagem,1
Industr.Impregnação Papel 65gr - Cosmos .,Papelaria,1
Industr.Impregnação Papel 65gr - Curupixa .,Embalagem,1
Industr.Impregnação Papel 65gr - Curupixa .,Papelaria,1
Industr.Impregnação Papel 65gr - Curupixa Ripado - Industr.Impregnação Papel 65gr - Curupixá A22D800140800 - Nome/Código Fornecedor: Curupixá Slot A22D8001408|00 - Ripado Curupixa,Embalagem,1
Industr.Impregnação Papel 65gr - Curupixa Ripado - Industr.Impregnação Papel 65gr - Curupixá A22D800140800 - Nome/Código Fornecedor: Curupixá Slot A22D8001408|00 - Ripado Curupixa,Papelaria,1
Industr.Impregnação Papel 65gr - Elmo Lisboa,Embalagem,1
Industr.Impregnação Papel 65gr - Elmo Lisboa,Papelaria,1
Industr.Impregnação Papel 65gr - Fog. Industr.Impregnação Papel 65gr - Fog,Embalagem,1
Industr.Impregnação Papel 65gr - Fog. Industr.Impregnação Papel 65gr - Fog,Papelaria,1
Industr.Impregnação Papel 65gr - Imbuia .,Embalagem,1
Industr.Impregnação Papel 65gr - Imbuia .,Papelaria,1
Industr.Impregnação Papel 65gr - Ipe .,Embalagem,1
Industr.Impregnação Papel 65gr - Ipe .,Papelaria,1
Industr.Impregnação Papel 65gr - Marmo .,Embalagem,1
Industr.Impregnação Papel 65gr - Marmo .,Papelaria,1
Industr.Impregnação Papel 65gr - Ouro .,Embalagem,1
Industr.Impregnação Papel 65gr - Ouro .,Papelaria,1
Industr.Impregnação Papel 65gr - Pixel. Industr.Impregnação Papel 65gr - Pixel,Embalagem,1
Industr.Impregnação Papel 65gr - Pixel. Industr.Impregnação Papel 65gr - Pixel,Papelaria,1
Industr.Impregnação Papel 65gr - Pretoria,Embalagem,1
Industr.Impregnação Papel 65gr - Pretoria,Papelaria,1
Industr.Impregnação Papel 65gr - Quartzo .,Embalagem,1
Industr.Impregnação Papel 65gr - Quartzo .,Papelaria,1
Industr.Impregnação Papel 65gr - Tauari .,Embalagem,1
Industr.Impregnação Papel 65gr - Tauari .,Papelaria,1
Industr.Impregnação Papel 65gr - Tauari Ripado - Industr.Impregnação Papel 65gr - Tauari Slot A22D800141000 - Nome/Código Fornecedor: Tauari Slot A22D8001410|00 - Ripado Tauari,Embalagem,1
Industr.Impregnação Papel 65gr - Tauari Ripado - Industr.Impregnação Papel 65gr - Tauari Slot A22D800141000 - Nome/Código Fornecedor: Tauari Slot A22D8001410|00 - Ripado Tauari,Papelaria,1
Industr.Impregnação Papel 65gr - Tear - Industr.Impregnação Papel 65gr - Textile A22D8001395-00 - Nome/Código Fornecedor: Textile A22D8001395|00 - Tear,Embalagem,1
Industr.Impregnação Papel 65gr - Tear - Industr.Impregnação Papel 65gr - Textile A22D8001395-00 - Nome/Código Fornecedor: Textile A22D8001395|00 - Tear,Papelaria,1
